"","edgeid","author","mentioned","degree_author","weight","vertexid","x","y","order"
"226",113,"@b_riexinger","@nouripour",39,82,27,-0.882947592858927,-0.469471562785891,"2"
"227",114,"@b_riexinger","@oezoguz",39,3,4,0.913545457642601,0.4067366430758,"1"
"228",114,"@b_riexinger","@oezoguz",39,3,28,-0.809016994374948,-0.587785252292473,"2"
"229",115,"@b_riexinger","@OlafScholz",39,63,4,0.913545457642601,0.4067366430758,"1"
"230",115,"@b_riexinger","@OlafScholz",39,63,29,-0.719339800338651,-0.694658370458997,"2"
"231",116,"@b_riexinger","@peter_simone",39,143,4,0.913545457642601,0.4067366430758,"1"
"232",116,"@b_riexinger","@peter_simone",39,143,30,-0.615661475325658,-0.788010753606722,"2"
"233",117,"@b_riexinger","@peteraltmaier",39,55,4,0.913545457642601,0.4067366430758,"1"
"234",117,"@b_riexinger","@peteraltmaier",39,55,31,-0.5,-0.866025403784438,"2"
"235",118,"@b_riexinger","@petertauber",39,61,4,0.913545457642601,0.4067366430758,"1"
"236",118,"@b_riexinger","@petertauber",39,61,32,-0.374606593415912,-0.927183854566787,"2"
"237",119,"@b_riexinger","@PetraPauMaHe",39,62,4,0.913545457642601,0.4067366430758,"1"
"238",119,"@b_riexinger","@PetraPauMaHe",39,62,33,-0.241921895599668,-0.970295726275996,"2"
"239",120,"@b_riexinger","@Ralf_Stegner",39,151,4,0.913545457642601,0.4067366430758,"1"
"240",120,"@b_riexinger","@Ralf_Stegner",39,151,35,0.0348994967025013,-0.999390827019096,"2"
"241",121,"@b_riexinger","@RegSprecher",39,3,4,0.913545457642601,0.4067366430758,"1"
"242",121,"@b_riexinger","@RegSprecher",39,3,36,0.17364817766693,-0.984807753012208,"2"
"243",122,"@b_riexinger","@RenateKuenast",39,114,4,0.913545457642601,0.4067366430758,"1"
"244",122,"@b_riexinger","@RenateKuenast",39,114,37,0.309016994374947,-0.951056516295154,"2"
"245",123,"@b_riexinger","@sigmargabriel",39,96,4,0.913545457642601,0.4067366430758,"1"
"246",123,"@b_riexinger","@sigmargabriel",39,96,38,0.438371146789077,-0.898794046299167,"2"
"247",124,"@b_riexinger","@SteinbachErika",39,2,4,0.913545457642601,0.4067366430758,"1"
"248",124,"@b_riexinger","@SteinbachErika",39,2,39,0.559192903470747,-0.829037572555042,"2"
"249",125,"@b_riexinger","@sven_giegold",39,4,4,0.913545457642601,0.4067366430758,"1"
